#{"t_start": 1771565922.632915, "env_id": "None"}
r,l,t
-134103.1,200,3056.107214
-723299.4,200,3063.844084
-1727232.3,200,3071.591744
-160309.1,200,3078.448073
-726658.1,200,3086.049836
-1672648.3,200,3093.067923
-1675312.6,200,3099.844521
-1666658.4,200,3106.05455
-1663691.2,200,3109.948588
-733672.8,200,3113.980991
-1738119.4,200,3117.945573
-1730965.3,200,3121.881971
-1643219.0,200,3126.032175
-1711138.6,200,3130.124326
-161112.5,200,3134.045513
-1576375.3,200,3138.064767
-1633937.0,200,3142.083881
-1622725.1,200,3146.168285
-108425.1,200,3150.259087
-1743004.0,200,3154.3215
-671897.7,200,3160.830434
-1548838.0,200,3164.872934
-1719543.5,200,3168.939664
-665288.4,200,3172.963078
-1662952.7,200,3177.272089
-680819.3,200,3181.083786
-1690976.5,200,3185.196371
-155297.8,200,3189.292902
-1621309.7,200,3193.433176
-1734054.5,200,3197.479517
-1613420.0,200,3201.535313
-731015.6,200,3205.730736
-1722843.9,200,3209.957706
-1600586.1,200,3213.925564
-1656642.2,200,3218.149951
-632905.7,200,3222.321818
-630172.2,200,3226.243776
-737350.5,200,3230.34444
-1666323.8,200,3234.23019
-651758.8,200,3238.39712
-1646198.2,200,3245.350529
-117664.4,200,3249.354151
-660430.4,200,3253.565488
-1699885.4,200,3257.710499
-1657867.9,200,3261.674775
-645141.7,200,3265.825682
-597036.3,200,3269.89483
-680409.8,200,3274.181206
-1735689.0,200,3278.539558
-884907.1,200,3282.626827
-140865.2,200,3286.566149
-1681954.2,200,3290.90816
-1664354.8,200,3294.933955
-1610517.7,200,3299.08362
-1731803.3,200,3303.185647
-1737117.0,200,3307.231579
-1724883.8,200,3311.379761
-1664101.3,200,3315.291105
-706636.0,200,3319.567784
-1659694.2,200,3323.678293
-1597827.5,200,3327.831111
-683561.3,200,3334.522406
-737510.9,200,3338.671303
-1644928.4,200,3342.739952
-111230.0,200,3346.746873
-635534.2,200,3350.711478
-675353.7,200,3354.89046
-726369.0,200,3358.973135
-1706353.4,200,3363.121082
-664021.4,200,3367.365986
-1615724.4,200,3371.226056
-711904.9,200,3375.288593
-1125737.8,200,3379.603325
-1651917.8,200,3383.944111
-1670758.3,200,3388.01686
-1738099.8,200,3391.98398
-1732884.8,200,3396.467913
-662461.1,200,3400.260948
-1703048.0,200,3404.321821
-724376.1,200,3408.394723
-678268.5,200,3412.280601
-1657978.5,200,3418.828859
-137109.0,200,3422.827765
-1613116.9,200,3426.764181
